VALUE,COUNT,ISO3V10,UNSDCODE,COUNTRYENG
184,595,SHN,654,Saint Helena
185,189205,SJM,1015,Svalbard
186,38767,SLB,90,Solomon Islands
187,86217,SLE,694,Sierra Leone
188,24752,SLV,222,El Salvador
189,100,SMR,674,San Marino
190,748678,SOM,706,Somalia
191,515,SPM,666,Saint Pierre and Miquelon
192,1310,STP,678,Sao Tome and Principe
193,167755,SUR,740,Suriname
194,86208,SVK,703,Slovakia
195,34020,SVN,705,Slovenia
196,1116526,SWE,752,Sweden
197,22647,SWZ,748,Swaziland
198,313,SYC,690,Seychelles
199,264440,SYR,760,Syrian Arab Republic
200,1120,TCA,796,Turks and Caicos Islands
201,1536536,TCD,148,Chad
202,67490,TGO,768,Togo
203,624972,THA,764,Thailand
204,199376,TJK,762,Tajikistan
205,116,TKL,772,Tokelau
206,731722,TKM,795,Turkmenistan
207,18120,TLS,626,East Timor
208,1415,TON,776,Tonga
209,6554,TTO,780,Trinidad and Tobago
210,219440,TUN,788,Tunisia
211,1163530,TUR,792,Turkey
212,129,TUV,798,Tuvalu
213,47071,TWN,1013,Taiwan
214,1049412,TZA,834,United Rep. of Tanzania
215,244128,UGA,800,Uganda
216,1051487,UKR,804,Ukraine
217,244058,URY,858,Uruguay
218,15866212,USA,840,United States of America
219,648555,UZB,860,Uzbekistan
220,1,VAT,336,Holy See
221,704,VCT,670,Saint Vincent
222,1073145,VEN,862,Venezuela
223,383,VGB,92,British Virgin Islands
224,642,VIR,850,United States Virgin Islands
225,405095,VNM,704,Viet Nam
226,16850,VUT,548,Vanuatu
227,290,WLF,876,Wallis and Futuna
228,3737,WSM,882,Western Samoa
229,506966,YEM,887,Yemen
230,1629134,ZAF,710,South Africa
231,890953,ZMB,894,Zambia
232,480000,ZWE,716,Zimbabwe
